"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,3644585,0,911146.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,3644585,0,911146.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,3644095,-490,911146.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,3643855,-240,911146.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,3643335,-520,911146.25,0,1,1,2,1,1,1,,,365,"craftAndEquipFomoReservoir"
12522,0.3,0,0,3643075,-260,911146.25,0,2,1,2,1,1,1,,,625,"craftAndEquipFomoHarvester"
12522,0.3,0,0,3642630,-445,911146.25,0,2,1,3,1,1,1,,,755,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,3642400,-230,911146.25,0,3,1,3,1,1,1,,,977.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,3641855,-545,911146.25,0,3,1,4,1,1,1,,,1092.5,"craftAndEquipKekReservoir"
12522,0.3,0,0,3641575,-280,911146.25,0,4,1,4,1,1,1,,,1365,"craftAndEquipKekHarvester"
12522,0.3,0,0,3640575,-1000,911146.25,0,4,1,4,1,1,1,,,1505,"upgradeHighestLevelAltar"
12522,0.3,1,0,3644585,0,911146.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,3644585,0,911146.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,3644095,-490,911146.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,3643855,-240,911146.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,3643335,-520,911146.25,0,1,1,2,1,1,1,,,365,"craftAndEquipFomoReservoir"
12522,0.3,1,0,3643075,-260,911146.25,0,2,1,2,1,1,1,,,625,"craftAndEquipFomoHarvester"
12522,0.3,1,0,3642630,-445,911146.25,0,2,1,3,1,1,1,,,755,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,3642400,-230,911146.25,0,3,1,3,1,1,1,,,977.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,3641855,-545,911146.25,0,3,1,4,1,1,1,,,1092.5,"craftAndEquipKekReservoir"
12522,0.3,1,0,3641575,-280,911146.25,0,4,1,4,1,1,1,,,1365,"craftAndEquipKekHarvester"
12522,0.3,1,0,3641335,-240,911146.25,0,5,1,4,1,1,1,,,1505,"craftAndEquipFudHarvester"
12522,0.3,1,0,3640335,-1000,911146.25,0,5,1,4,1,1,1,,,1625,"upgradeHighestLevelAltar"
12522,0.3,1,0,3640055,-280,911146.25,0,6,1,4,1,1,1,,,2125,"craftAndEquipKekHarvester"
25043,0.7,0,0,3640583,8.000000000087311,911130.25,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
25043,0.7,1,0,3640064,9,911128.25,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
37565,1,0,0,3640591.0000000005,8.000000000087311,911114.2500000001,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
37565,1,1,0,3640073,9,911110.25,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
50087,1.3,0,0,3640599,8.000000000087311,911098.25,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
50087,1.3,1,0,3640082,9,911092.25,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
62609,1.7,0,0,3640607.0000000005,8.000000000087311,911082.2500000001,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
62609,1.7,1,0,3640091,9,911074.25,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
75130,2,0,0,3640615.0000000005,8.000000000087311,911066.2500000001,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
75130,2,1,0,3640100,9,911056.25,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
87652,2.3,0,0,3640623,8.000000000087311,911050.25,0,4,1,4,1,1,2,,,2005,"emptyParcelReservoirs"
87652,2.3,0,0,3640143,-480,911050.25,0,4,1,4,1,1,2,,,2005,"upgradeLowestLevelFudHarvester"
87652,2.3,0,0,3633793,-6350,911050.25,0,4,1,4,1,1,2,1,1,2245,"craftAndEquipMaker"
87652,2.3,0,0,3621193,-12600,911050.25,0,4,1,4,1,1,2,1,1,5420,"upgradeLowestLevelMaker"
87652,2.3,1,0,3640109,9,911038.25,0,6,1,4,1,1,2,,,2265,"emptyParcelReservoirs"
87652,2.3,1,0,3639159,-950,911038.25,0,6,1,4,1,1,2,,,2265,"upgradeLowestLevelFudReservoir"
87652,2.3,1,0,3638919,-240,911038.25,0,7,1,4,1,1,2,,,2740,"craftAndEquipFudHarvester"
87652,2.3,1,0,3638679,-240,911038.25,0,8,1,4,1,1,2,,,2860,"craftAndEquipFudHarvester"
87652,2.3,1,0,3638439,-240,911038.25,0,9,1,4,1,1,2,,,2980,"craftAndEquipFudHarvester"
87652,2.3,1,0,3632089,-6350,911038.25,0,9,1,4,1,1,2,1,1,3100,"craftAndEquipMaker"
87652,2.3,1,0,3619489,-12600,911038.25,0,9,1,4,1,1,2,1,1,6275,"upgradeLowestLevelMaker"
100174,2.7,0,0,3621201.0000000005,8.000000000087311,911034.2500000001,0,4,1.25,4,1,1,2,1,1,11720,"emptyParcelReservoirs"
100174,2.7,0,0,3620251.0000000005,-950,911034.2500000001,0,4,1.25,4,1,1,2,1,1,11720,"upgradeLowestLevelFudReservoir"
100174,2.7,1,0,3619498,9,911020.25,0,9,1,4,1,1,2,1,1,12575,"emptyParcelReservoirs"
112696,3,0,0,3620259.166666667,8.166666666715173,911017.9166666667,0,4,1.25,4,1,1,2,1,1,12195,"emptyParcelReservoirs"
112696,3,1,0,3619507,9,911002.25,0,9,1,4,1,1,2,1,1,12575,"emptyParcelReservoirs"
125217,3.3,0,0,3620267.333333334,8.166666666715173,911001.5833333335,0,4,1.25,4,1,1,2,1,1,12195,"emptyParcelReservoirs"
125217,3.3,1,0,3619516.25,9.25,910984.25,0,9,1,4,1.25,1,2,1,1,12575,"emptyParcelReservoirs"
125217,3.3,1,0,3617516.25,-2000,910984.25,0,9,1,4,1.25,1,2,1,1,12575,"upgradeHighestLevelAltar"
137739,3.7,0,0,3620275.750000001,8.416666666715173,910985.2500000002,0,4,1.25,4,1.25,1,2,1,1,12195,"emptyParcelReservoirs"
137739,3.7,0,0,3618275.750000001,-2000,910985.2500000002,0,4,1.25,4,1.25,1,2,1,1,12195,"upgradeHighestLevelAltar"
137739,3.7,1,0,3617533.75,17.5,910951.25,0,9,1,4,1.25,1,2,1,1,13575,"emptyParcelReservoirs"
150261,4,0,0,3618286.7333333343,10.983333333366318,910964.2500000002,0,4,1.25,4,1.25,1,2,1,1,13195,"emptyParcelReservoirs"
