"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,14578340,0,455569,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,14578340,0,455569,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,14577850,-490,455569,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,14577610,-240,455569,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,14577090,-520,455569,0,1,1,2,1,1,1,,,365,"craftAndEquipFomoReservoir"
12522,0.3,0,0,14576830,-260,455569,0,2,1,2,1,1,1,,,625,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14576385,-445,455569,0,2,1,3,1,1,1,,,755,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,14576155,-230,455569,0,3,1,3,1,1,1,,,977.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,14575610,-545,455569,0,3,1,4,1,1,1,,,1092.5,"craftAndEquipKekReservoir"
12522,0.3,0,0,14575330,-280,455569,0,4,1,4,1,1,1,,,1365,"craftAndEquipKekHarvester"
12522,0.3,0,0,14575090,-240,455569,0,5,1,4,1,1,1,,,1505,"craftAndEquipFudHarvester"
12522,0.3,0,0,14574090,-1000,455569,0,5,1,4,1,1,1,,,1625,"upgradeHighestLevelAltar"
12522,0.3,0,0,14573810,-280,455569,0,6,1,4,1,1,1,,,2125,"craftAndEquipKekHarvester"
12522,0.3,1,0,14578340,0,455569,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,14578340,0,455569,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,14577850,-490,455569,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,14577610,-240,455569,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,14577090,-520,455569,0,1,1,2,1,1,1,,,365,"craftAndEquipFomoReservoir"
12522,0.3,1,0,14576830,-260,455569,0,2,1,2,1,1,1,,,625,"craftAndEquipFomoHarvester"
12522,0.3,1,0,14576385,-445,455569,0,2,1,3,1,1,1,,,755,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,14576155,-230,455569,0,3,1,3,1,1,1,,,977.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,14575610,-545,455569,0,3,1,4,1,1,1,,,1092.5,"craftAndEquipKekReservoir"
12522,0.3,1,0,14575330,-280,455569,0,4,1,4,1,1,1,,,1365,"craftAndEquipKekHarvester"
12522,0.3,1,0,14574330,-1000,455569,0,4,1,4,1,1,1,,,1505,"upgradeHighestLevelAltar"
25043,0.7,0,0,14573819,9,455551,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
25043,0.7,1,0,14574338,8.000000000349246,455553,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
37565,1,0,0,14573828,9,455533,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
37565,1,1,0,14574346.000000002,8.000000000349246,455536.99999999994,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
50087,1.3,0,0,14573837,9,455515,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
50087,1.3,1,0,14574354,8.000000000349246,455521,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
62609,1.7,0,0,14573846,9,455497,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
62609,1.7,1,0,14574362.000000002,8.000000000349246,455504.99999999994,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
75130,2,0,0,14573855,9,455479,0,6,1,4,1,1,1,,,2265,"emptyParcelReservoirs"
75130,2,1,0,14574370.000000002,8.000000000349246,455488.99999999994,0,4,1,4,1,1,1,,,2005,"emptyParcelReservoirs"
87652,2.3,0,0,14573864,9,455461,0,6,1,4,1,1,2,,,2265,"emptyParcelReservoirs"
87652,2.3,0,0,14572914,-950,455461,0,6,1,4,1,1,2,,,2265,"upgradeLowestLevelFudReservoir"
87652,2.3,0,0,14572674,-240,455461,0,7,1,4,1,1,2,,,2740,"craftAndEquipFudHarvester"
87652,2.3,0,0,14572434,-240,455461,0,8,1,4,1,1,2,,,2860,"craftAndEquipFudHarvester"
87652,2.3,0,0,14572194,-240,455461,0,9,1,4,1,1,2,,,2980,"craftAndEquipFudHarvester"
87652,2.3,0,0,14565844,-6350,455461,0,9,1,4,1,1,2,1,1,3100,"craftAndEquipMaker"
87652,2.3,0,0,14553244,-12600,455461,0,9,1,4,1,1,2,1,1,6275,"upgradeLowestLevelMaker"
87652,2.3,1,0,14574378,8.000000000349246,455473,0,4,1,4,1,1,2,,,2005,"emptyParcelReservoirs"
87652,2.3,1,0,14573898,-480,455473,0,4,1,4,1,1,2,,,2005,"upgradeLowestLevelFudHarvester"
87652,2.3,1,0,14567548,-6350,455473,0,4,1,4,1,1,2,1,1,2245,"craftAndEquipMaker"
87652,2.3,1,0,14554948,-12600,455473,0,4,1,4,1,1,2,1,1,5420,"upgradeLowestLevelMaker"
100174,2.7,0,0,14553253,9,455443,0,9,1,4,1,1,2,1,1,12575,"emptyParcelReservoirs"
100174,2.7,1,0,14554956.000000002,8.000000000349246,455456.99999999994,0,4,1.25,4,1,1,2,1,1,11720,"emptyParcelReservoirs"
100174,2.7,1,0,14554006.000000002,-950,455456.99999999994,0,4,1.25,4,1,1,2,1,1,11720,"upgradeLowestLevelFudReservoir"
112696,3,0,0,14553262,9,455425,0,9,1,4,1,1,2,1,1,12575,"emptyParcelReservoirs"
112696,3,1,0,14554014.166666668,8.166666666860692,455440.6666666666,0,4,1.25,4,1,1,2,1,1,12195,"emptyParcelReservoirs"
125217,3.3,0,0,14553271.25,9.25,455407,0,9,1,4,1.25,1,2,1,1,12575,"emptyParcelReservoirs"
125217,3.3,0,0,14551271.25,-2000,455407,0,9,1,4,1.25,1,2,1,1,12575,"upgradeHighestLevelAltar"
125217,3.3,1,0,14554022.333333336,8.166666666860692,455424.33333333326,0,4,1.25,4,1,1,2,1,1,12195,"emptyParcelReservoirs"
137739,3.7,0,0,14551288.75,17.5,455374,0,9,1,4,1.25,1,2,1,1,13575,"emptyParcelReservoirs"
137739,3.7,1,0,14554030.750000004,8.416666666860692,455407.9999999999,0,4,1.25,4,1.25,1,2,1,1,12195,"emptyParcelReservoirs"
137739,3.7,1,0,14552030.750000004,-2000,455407.9999999999,0,4,1.25,4,1.25,1,2,1,1,12195,"upgradeHighestLevelAltar"
150261,4,0,0,14551306.25,17.5,455341,0,9,1,4,1.25,1,2,1,1,13575,"emptyParcelReservoirs"
150261,4,1,0,14552041.733333338,10.983333333744667,455386.9999999999,0,4,1.25,4,1.25,1,2,1,1,13195,"emptyParcelReservoirs"
162783,4.3,0,0,14551323.75,17.5,455307.99999999994,0,9,1,4,1.25,1,2,1,2,13575,"emptyParcelReservoirs"
162783,4.3,0,0,14550278.75,-1045,455307.99999999994,0,9,1,4,1.25,1,2,1,2,13575,"upgradeLowestLevelFomoReservoir"
162783,4.3,0,0,14550018.75,-260,455307.99999999994,0,10,1,4,1.25,1,2,1,2,14097.5,"craftAndEquipFomoHarvester"
162783,4.3,0,0,14549758.75,-260,455307.99999999994,0,11,1,4,1.25,1,2,1,2,14227.5,"craftAndEquipFomoHarvester"
162783,4.3,0,0,14549498.75,-260,455307.99999999994,0,12,1,4,1.25,1,2,1,2,14357.5,"craftAndEquipFomoHarvester"
162783,4.3,1,0,14552052.71666667,10.983333333744667,455365.9999999999,0,4,1.25,4,1.25,1,2,1,2,13195,"emptyParcelReservoirs"
162783,4.3,1,0,14551007.71666667,-1045,455365.9999999999,0,4,1.25,4,1.25,1,2,1,2,13195,"upgradeLowestLevelFomoReservoir"
175304,4.7,0,0,14549516.25,17.5,455274.99999999994,0,12,1,4,1.25,1,2,1,2,14487.5,"emptyParcelReservoirs"
175304,4.7,1,0,14551018.700000005,10.983333333744667,455344.9999999998,0,4,1.25,4,1.25,1,2,1,2,13717.5,"emptyParcelReservoirs"
187826,5,0,0,14549533.75,17.5,455241.99999999994,0,12,1,4,1.25,1,2,1,2,14487.5,"emptyParcelReservoirs"
187826,5,1,0,14551029.683333337,10.983333333744667,455323.9999999999,0,4,1.25,4,1.25,1,2,1,2,13717.5,"emptyParcelReservoirs"
200348,5.3,0,0,14549551.45,17.700000000186265,455208.9999999999,0,12,1,4,1.5,1,2,1,2,14487.5,"emptyParcelReservoirs"
200348,5.3,0,0,14548641.45,-910,455208.9999999999,0,12,1,4,1.5,1,2,1,2,14487.5,"upgradeLowestLevelAlphaReservoir"
200348,5.3,0,0,14548411.45,-230,455208.9999999999,0,13,1,4,1.5,1,2,1,2,14942.5,"craftAndEquipAlphaHarvester"
200348,5.3,0,0,14548181.45,-230,455208.9999999999,0,14,1,4,1.5,1,2,1,2,15057.5,"craftAndEquipAlphaHarvester"
200348,5.3,0,0,14547951.45,-230,455208.9999999999,0,15,1,4,1.5,1,2,1,2,15172.5,"craftAndEquipAlphaHarvester"
200348,5.3,1,0,14551040.86666667,11.183333333930932,455302.9999999999,0,4,1.25,4,1.5,1,2,1,2,13717.5,"emptyParcelReservoirs"
200348,5.3,1,0,14550510.86666667,-530,455302.9999999999,0,4,1.25,4,1.5,1,2,1,2,13717.5,"upgradeLowestLevelFomoHarvester"
212870,5.7,0,0,14547976.85,25.399999999906868,455161.9999999999,0,15,1,4,1.5,1,2,1,2,15287.5,"emptyParcelReservoirs"
212870,5.7,1,0,14550522.416666673,11.550000000628643,455281.3333333332,0,4,1.5,4,1.5,1,2,1,2,13982.5,"emptyParcelReservoirs"
212870,5.7,1,0,14549612.416666673,-910,455281.3333333332,0,4,1.5,4,1.5,1,2,1,2,13982.5,"upgradeLowestLevelAlphaReservoir"
225391,6,0,0,14548002.25,25.399999999906868,455114.9999999999,0,15,1,4,1.5,1,2,1,2,15287.5,"emptyParcelReservoirs"
225391,6,1,0,14549626.166666672,13.750000000349246,455255.6666666665,0,4,1.5,4,1.5,1,2,1,2,14437.5,"emptyParcelReservoirs"
237913,6.3,0,0,14548027.850000001,25.600000000093132,455067.9999999998,0,15,1,4,1.75,1,2,1,2,15287.5,"emptyParcelReservoirs"
237913,6.3,0,0,14546937.850000001,-1090,455067.9999999998,0,15,1,4,1.75,1,2,1,2,15287.5,"upgradeLowestLevelKekReservoir"
237913,6.3,0,0,14546657.850000001,-280,455067.9999999998,0,16,1,4,1.75,1,2,1,2,15832.5,"craftAndEquipKekHarvester"
237913,6.3,1,0,14549639.916666673,13.750000000349246,455229.99999999977,0,4,1.5,4,1.5,1,2,1,2,14437.5,"emptyParcelReservoirs"
250435,6.7,0,0,14546692.25,34.39999999990687,455004.99999999977,0,16,1,4,1.75,1,2,1,2,15972.5,"emptyParcelReservoirs"
250435,6.7,1,0,14549653.866666673,13.95000000053551,455204.33333333314,0,4,1.5,4,1.75,1,2,1,2,14437.5,"emptyParcelReservoirs"
250435,6.7,1,0,14549213.866666673,-440,455204.33333333314,0,4,1.5,4,1.75,1,2,1,2,14437.5,"upgradeLowestLevelAlphaHarvester"
262957,7,0,0,14546726.649999999,34.39999999990687,454941.99999999977,0,16,1,4,1.75,1,2,1,2,15972.5,"emptyParcelReservoirs"
262957,7,1,0,14549229.28333334,15.416666666860692,455175.99999999977,0,4,1.75,4,1.75,1,2,1,2,14657.5,"emptyParcelReservoirs"
262957,7,1,0,14548679.28333334,-550,455175.99999999977,0,4,1.75,4,1.75,1,2,1,2,14657.5,"upgradeLowestLevelKekHarvester"
275478,7.3,0,0,14546761.3,34.6500000001397,454878.9999999997,0,16,1,4,2,1,2,1,2,15972.5,"emptyParcelReservoirs"
275478,7.3,0,0,14546211.3,-550,454878.9999999997,0,16,1,4,2,1,2,1,2,15972.5,"upgradeLowestLevelKekHarvester"
275478,7.3,1,0,14548696.900000006,17.616666667046957,455143.6666666664,0,4,2,4,1.75,1,2,1,2,14932.5,"emptyParcelReservoirs"
275478,7.3,1,0,14547606.900000006,-1090,455143.6666666664,0,4,2,4,1.75,1,2,1,2,14932.5,"upgradeLowestLevelKekReservoir"
288000,7.7,0,0,14546248.7,37.39999999979045,454810.99999999965,0,16,1.0625,4,2,1,3,1,2,16247.5,"emptyParcelReservoirs"
288000,7.7,0,0,14544348.7,-1900,454810.99999999965,0,16,1.0625,4,2,1,3,1,2,16247.5,"upgradeLowestLevelFudReservoir"
288000,7.7,0,0,14543868.7,-480,454810.99999999965,0,16,1.0625,4,2,1,3,1,2,17197.5,"upgradeLowestLevelFudHarvester"
288000,7.7,0,0,14518768.7,-25100,454810.99999999965,0,16,1.0625,4,2,1,3,1,2,17437.5,"upgradeLowestLevelMaker"
288000,7.7,1,0,14547625.350000007,18.450000000186265,455109.6666666664,0,4,2,4,1.75,1,2,1,2,15477.5,"emptyParcelReservoirs"
300522,8,0,0,14518807.933333334,39.233333333279006,454739.6666666662,0,16,1.125,4,2,1,3,1,2,29987.5,"emptyParcelReservoirs"
300522,8,0,0,14518327.933333334,-480,454739.6666666662,0,16,1.125,4,2,1,3,1,2,29987.5,"upgradeLowestLevelFudHarvester"
300522,8,1,0,14547643.800000008,18.450000000186265,455075.6666666664,0,4,2,4,1.75,1,3,1,2,15477.5,"emptyParcelReservoirs"
