"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,3644075,-20,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,3643555,-520,28472.25,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,0,0,3643535,-20,28472.25,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,0,0,3643090,-445,28472.25,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,3643071.4,-18.599999999976717,28472.25,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,3642526.4,-545,28472.25,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,0,0,3642505.4,-20.999999999970896,28472.25,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
12522,0.3,0,0,3641505.4,-1000,28472.25,0,4,1,4,1,1,1,,,1039.8,"upgradeHighestLevelAltar"
12522,0.3,1,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,3644075,-20,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,3643555,-520,28472.25,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,1,0,3643535,-20,28472.25,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,1,0,3643090,-445,28472.25,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,3643071.4,-18.599999999976717,28472.25,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,3642526.4,-545,28472.25,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,1,0,3642505.4,-20.999999999970896,28472.25,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
12522,0.3,1,0,3641505.4,-1000,28472.25,0,4,1,4,1,1,1,,,1039.8,"upgradeHighestLevelAltar"
12522,0.3,2,0,3644585,0,28472.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,2,0,3644585,0,28472.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,2,0,3644095,-490,28472.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,2,0,3644075,-20,28472.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,2,0,3643555,-520,28472.25,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,2,0,3643535,-20,28472.25,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,2,0,3643090,-445,28472.25,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,2,0,3643071.4,-18.599999999976717,28472.25,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,2,0,3642526.4,-545,28472.25,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,2,0,3642505.4,-20.999999999970896,28472.25,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
