"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,7289170,0,227784.5,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,7289170,0,227784.5,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,7288680,-490,227784.5,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,7288660,-20,227784.5,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,7288140,-520,227784.5,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,0,0,7288120,-20,227784.5,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,0,0,7287675,-445,227784.5,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,7287656.4,-18.600000000093132,227784.5,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,7287111.4,-545,227784.5,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,0,0,7287090.4,-21.000000000116415,227784.5,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
12522,0.3,0,0,7286090.4,-1000,227784.5,0,4,1,4,1,1,1,,,1039.8,"upgradeHighestLevelAltar"
12522,0.3,1,0,7289170,0,227784.5,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,7289170,0,227784.5,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,7288680,-490,227784.5,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,7288660,-20,227784.5,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,7288140,-520,227784.5,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,1,0,7288120,-20,227784.5,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,1,0,7287675,-445,227784.5,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,7287656.4,-18.600000000093132,227784.5,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,7287111.4,-545,227784.5,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,1,0,7287090.4,-21.000000000116415,227784.5,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
12522,0.3,1,0,7287070.4,-20,227784.5,0,5,1,4,1,1,1,,,1039.8,"craftAndEquipFudHarvester"
12522,0.3,1,0,7287050.4,-20,227784.5,0,6,1,4,1,1,1,,,1049.8,"craftAndEquipFudHarvester"
12522,0.3,1,0,7287030.4,-20,227784.5,0,7,1,4,1,1,1,,,1059.8,"craftAndEquipFudHarvester"
12522,0.3,1,0,7286030.4,-1000,227784.5,0,7,1,4,1,1,1,,,1069.8,"upgradeHighestLevelAltar"
12522,0.3,1,0,7286010.4,-20,227784.5,0,8,1,4,1,1,1,,,1569.8,"craftAndEquipFomoHarvester"
12522,0.3,1,0,7285990.4,-20,227784.5,0,9,1,4,1,1,1,,,1579.8,"craftAndEquipFomoHarvester"
12522,0.3,1,0,7285970.4,-20,227784.5,0,10,1,4,1,1,1,,,1589.8,"craftAndEquipFomoHarvester"
12522,0.3,1,0,7285951.8,-18.600000000093132,227784.5,0,11,1,4,1,1,1,,,1599.8,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,7285933.199999999,-18.600000000093132,227784.5,0,12,1,4,1,1,1,,,1609.1,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,7285914.6,-18.600000000093132,227784.5,0,13,1,4,1,1,1,,,1618.4,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,7285893.6,-21.000000000116415,227784.5,0,14,1,4,1,1,1,,,1627.7,"craftAndEquipKekHarvester"
12522,0.3,1,0,7285872.6,-21.000000000116415,227784.5,0,15,1,4,1,1,1,,,1638.2,"craftAndEquipKekHarvester"
12522,0.3,1,0,7285851.6,-21.000000000116415,227784.5,0,16,1,4,1,1,1,,,1648.7,"craftAndEquipKekHarvester"
