"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,14578340,0,113889,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,14578340,0,113889,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,14577850,-490,113889,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,14577830,-20,113889,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,14577310,-520,113889,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,0,0,14577290,-20,113889,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14576845,-445,113889,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,14576826.4,-18.600000000093132,113889,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,14576281.4,-545,113889,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,0,0,14576260.4,-21.000000000116415,113889,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
12522,0.3,0,0,14575260.4,-1000,113889,0,4,1,4,1,1,1,,,1039.8,"upgradeHighestLevelAltar"
12522,0.3,1,0,14578340,0,113889,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,14578340,0,113889,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,14577850,-490,113889,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,14577830,-20,113889,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,14577310,-520,113889,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,1,0,14577290,-20,113889,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,1,0,14576845,-445,113889,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,14576826.4,-18.600000000093132,113889,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,14576281.4,-545,113889,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,1,0,14576260.4,-21.000000000116415,113889,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
12522,0.3,1,0,14575260.4,-1000,113889,0,4,1,4,1,1,1,,,1039.8,"upgradeHighestLevelAltar"
25043,0.7,0,0,14575263.066666666,2.666666666395031,113883.66666666667,0,4,1,4,1,1,1,,,1539.8,"emptyParcelReservoirs"
25043,0.7,1,0,14575263.066666666,2.666666666395031,113883.66666666667,0,4,1,4,1,1,1,,,1539.8,"emptyParcelReservoirs"
37565,1,0,0,14575265.733333332,2.666666666395031,113878.33333333334,0,4,1,4,1,1,1,,,1539.8,"emptyParcelReservoirs"
37565,1,1,0,14575265.733333332,2.666666666395031,113878.33333333334,0,4,1,4,1,1,1,,,1539.8,"emptyParcelReservoirs"
50087,1.3,0,0,14575268.399999999,2.666666666395031,113873,0,4,1,4,1,1,1,,,1539.8,"emptyParcelReservoirs"
