"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,14578340,0,3644585,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,14578340,0,3644585,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,14577850,-490,3644585,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,14577830,-20,3644585,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,14577310,-520,3644585,0,1,1,2,1,1,1,,,255,"craftAndEquipFomoReservoir"
12522,0.3,0,0,14577290,-20,3644585,0,2,1,2,1,1,1,,,515,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14576845,-445,3644585,0,2,1,3,1,1,1,,,525,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,14576826.4,-18.600000000093132,3644585,0,3,1,3,1,1,1,,,747.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,14576281.4,-545,3644585,0,3,1,4,1,1,1,,,756.8,"craftAndEquipKekReservoir"
12522,0.3,0,0,14576260.4,-21.000000000116415,3644585,0,4,1,4,1,1,1,,,1029.3,"craftAndEquipKekHarvester"
12522,0.3,0,0,14576240.4,-20,3644585,0,5,1,4,1,1,1,,,1039.8,"craftAndEquipFudHarvester"
12522,0.3,0,0,14576220.4,-20,3644585,0,6,1,4,1,1,1,,,1049.8,"craftAndEquipFudHarvester"
12522,0.3,0,0,14576200.4,-20,3644585,0,7,1,4,1,1,1,,,1059.8,"craftAndEquipFudHarvester"
12522,0.3,0,0,14575200.4,-1000,3644585,0,7,1,4,1,1,1,,,1069.8,"upgradeHighestLevelAltar"
12522,0.3,0,0,14575180.4,-20,3644585,0,8,1,4,1,1,1,,,1569.8,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14575160.4,-20,3644585,0,9,1,4,1,1,1,,,1579.8,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14575140.4,-20,3644585,0,10,1,4,1,1,1,,,1589.8,"craftAndEquipFomoHarvester"
