"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,3644585,0,113892.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,3644585,0,113892.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,3644095,-490,113892.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,3643844.995609953,-250.0043900469318,113892.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,3643324.995609953,-520,113892.25,0,1,1,2,1,1,1,,,370.00219502344294,"craftAndEquipFomoReservoir"
12522,0.3,0,0,3643054.1575207356,-270.83808921743184,113892.25,0,2,1,2,1,1,1,,,630.0021950234429,"craftAndEquipFomoHarvester"
12522,0.3,0,0,3642609.1575207356,-445,113892.25,0,2,1,3,1,1,1,,,765.4212396321726,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,3642369.569980274,-239.58754046168178,113892.25,0,3,1,3,1,1,1,,,987.9212396321726,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,3641824.569980274,-545,113892.25,0,3,1,4,1,1,1,,,1107.7150098629718,"craftAndEquipKekReservoir"
12522,0.3,0,0,3641532.898191886,-291.6717883879901,113892.25,0,4,1,4,1,1,1,,,1380.2150098629718,"craftAndEquipKekHarvester"
12522,0.3,0,0,3640532.898191886,-1000,113892.25,0,4,1,4,1,1,1,,,1526.0509040569884,"upgradeHighestLevelAltar"
12522,0.3,1,0,3644585,0,113892.25,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,3644585,0,113892.25,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,3644095,-490,113892.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,3643844.995609953,-250.0043900469318,113892.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,3643324.995609953,-520,113892.25,0,1,1,2,1,1,1,,,370.00219502344294,"craftAndEquipFomoReservoir"
12522,0.3,1,0,3643054.1575207356,-270.83808921743184,113892.25,0,2,1,2,1,1,1,,,630.0021950234429,"craftAndEquipFomoHarvester"
12522,0.3,1,0,3642609.1575207356,-445,113892.25,0,2,1,3,1,1,1,,,765.4212396321726,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,3642369.569980274,-239.58754046168178,113892.25,0,3,1,3,1,1,1,,,987.9212396321726,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,3641824.569980274,-545,113892.25,0,3,1,4,1,1,1,,,1107.7150098629718,"craftAndEquipKekReservoir"
12522,0.3,1,0,3641532.898191886,-291.6717883879901,113892.25,0,4,1,4,1,1,1,,,1380.2150098629718,"craftAndEquipKekHarvester"
12522,0.3,1,0,3641282.893801839,-250.0043900469318,113892.25,0,5,1,4,1,1,1,,,1526.0509040569884,"craftAndEquipFudHarvester"
12522,0.3,1,0,3641032.889411792,-250.0043900469318,113892.25,0,6,1,4,1,1,1,,,1651.0530990804314,"craftAndEquipFudHarvester"
12522,0.3,1,0,3640782.885021745,-250.0043900469318,113892.25,0,7,1,4,1,1,1,,,1776.0552941038743,"craftAndEquipFudHarvester"
12522,0.3,1,0,3639782.885021745,-1000,113892.25,0,7,1,4,1,1,1,,,1901.057489127317,"upgradeHighestLevelAltar"
12522,0.3,1,0,3639512.046932528,-270.83808921743184,113892.25,0,8,1,4,1,1,1,,,2401.0574891273177,"craftAndEquipFomoHarvester"
12522,0.3,1,0,3639241.2088433104,-270.83808921743184,113892.25,0,9,1,4,1,1,1,,,2536.4765337360473,"craftAndEquipFomoHarvester"
