"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,14578340,0,113889,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,14578340,0,113889,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,14577850,-490,113889,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,14577360,-490,113889,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,14576840,-520,113889,0,1,1,2,1,1,1,,,490,"craftAndEquipFomoReservoir"
12522,0.3,0,0,14576320,-520,113889,0,2,1,2,1,1,1,,,750,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14575875,-445,113889,0,2,1,3,1,1,1,,,1010,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,14575415,-460,113889,0,3,1,3,1,1,1,,,1232.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,14574870,-545,113889,0,3,1,4,1,1,1,,,1462.5,"craftAndEquipKekReservoir"
12522,0.3,0,0,14574310,-560,113889,0,4,1,4,1,1,1,,,1735,"craftAndEquipKekHarvester"
12522,0.3,0,0,14573310,-1000,113889,0,4,1,4,1,1,1,,,2015,"upgradeHighestLevelAltar"
12522,0.3,1,0,14578340,0,113889,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,14578340,0,113889,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,14577850,-490,113889,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,14577360,-490,113889,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,14576840,-520,113889,0,1,1,2,1,1,1,,,490,"craftAndEquipFomoReservoir"
12522,0.3,1,0,14576320,-520,113889,0,2,1,2,1,1,1,,,750,"craftAndEquipFomoHarvester"
12522,0.3,1,0,14575875,-445,113889,0,2,1,3,1,1,1,,,1010,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,14575415,-460,113889,0,3,1,3,1,1,1,,,1232.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,14574870,-545,113889,0,3,1,4,1,1,1,,,1462.5,"craftAndEquipKekReservoir"
12522,0.3,1,0,14574310,-560,113889,0,4,1,4,1,1,1,,,1735,"craftAndEquipKekHarvester"
12522,0.3,1,0,14573310,-1000,113889,0,4,1,4,1,1,1,,,2015,"upgradeHighestLevelAltar"
25043,0.7,0,0,14573314,4,113881,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
25043,0.7,1,0,14573314,4,113881,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
37565,1,0,0,14573318,4,113873,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
37565,1,1,0,14573318,4,113873,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
50087,1.3,0,0,14573322,4,113865,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
50087,1.3,1,0,14573322,4,113865,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
62609,1.7,0,0,14573326,4,113857,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
