"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName"
12522,0.3,0,0,14578340,0,455569,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,0,0,14578340,0,455569,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,0,0,14577850,-490,455569,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,0,0,14577360,-490,455569,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,0,0,14576840,-520,455569,0,1,1,2,1,1,1,,,490,"craftAndEquipFomoReservoir"
12522,0.3,0,0,14576320,-520,455569,0,2,1,2,1,1,1,,,750,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14575875,-445,455569,0,2,1,3,1,1,1,,,1010,"craftAndEquipAlphaReservoir"
12522,0.3,0,0,14575415,-460,455569,0,3,1,3,1,1,1,,,1232.5,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,14574870,-545,455569,0,3,1,4,1,1,1,,,1462.5,"craftAndEquipKekReservoir"
12522,0.3,0,0,14574310,-560,455569,0,4,1,4,1,1,1,,,1735,"craftAndEquipKekHarvester"
12522,0.3,0,0,14573820,-490,455569,0,5,1,4,1,1,1,,,2015,"craftAndEquipFudHarvester"
12522,0.3,0,0,14573330,-490,455569,0,6,1,4,1,1,1,,,2260,"craftAndEquipFudHarvester"
12522,0.3,0,0,14572330,-1000,455569,0,6,1,4,1,1,1,,,2505,"upgradeHighestLevelAltar"
12522,0.3,0,0,14571810,-520,455569,0,7,1,4,1,1,1,,,3005,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14571290,-520,455569,0,8,1,4,1,1,1,,,3265,"craftAndEquipFomoHarvester"
12522,0.3,0,0,14570830,-460,455569,0,9,1,4,1,1,1,,,3525,"craftAndEquipAlphaHarvester"
12522,0.3,0,0,14570270,-560,455569,0,10,1,4,1,1,1,,,3755,"craftAndEquipKekHarvester"
12522,0.3,0,0,14569710,-560,455569,0,11,1,4,1,1,1,,,4035,"craftAndEquipKekHarvester"
12522,0.3,0,0,14569150,-560,455569,0,12,1,4,1,1,1,,,4315,"craftAndEquipKekHarvester"
12522,0.3,1,0,14578340,0,455569,0,,,,,,,,,0,"emptyParcelReservoirs"
12522,0.3,1,0,14578340,0,455569,0,,,,,1,1,,,0,"craftAndEquipAltar"
12522,0.3,1,0,14577850,-490,455569,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir"
12522,0.3,1,0,14577360,-490,455569,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester"
12522,0.3,1,0,14576840,-520,455569,0,1,1,2,1,1,1,,,490,"craftAndEquipFomoReservoir"
12522,0.3,1,0,14576320,-520,455569,0,2,1,2,1,1,1,,,750,"craftAndEquipFomoHarvester"
12522,0.3,1,0,14575875,-445,455569,0,2,1,3,1,1,1,,,1010,"craftAndEquipAlphaReservoir"
12522,0.3,1,0,14575415,-460,455569,0,3,1,3,1,1,1,,,1232.5,"craftAndEquipAlphaHarvester"
12522,0.3,1,0,14574870,-545,455569,0,3,1,4,1,1,1,,,1462.5,"craftAndEquipKekReservoir"
12522,0.3,1,0,14574310,-560,455569,0,4,1,4,1,1,1,,,1735,"craftAndEquipKekHarvester"
12522,0.3,1,0,14573310,-1000,455569,0,4,1,4,1,1,1,,,2015,"upgradeHighestLevelAltar"
25043,0.7,0,0,14569159,9,455551,0,12,1,4,1,1,1,,,4595,"emptyParcelReservoirs"
25043,0.7,1,0,14573314,4,455561,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
37565,1,0,0,14569168,9,455533,0,12,1,4,1,1,1,,,4595,"emptyParcelReservoirs"
37565,1,1,0,14573318,4,455553,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
50087,1.3,0,0,14569177,9,455515,0,12,1,4,1,1,1,,,4595,"emptyParcelReservoirs"
50087,1.3,1,0,14573322,4,455545,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
62609,1.7,0,0,14569186,9,455497,0,12,1,4,1,1,1,,,4595,"emptyParcelReservoirs"
62609,1.7,1,0,14573326,4,455537,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
75130,2,0,0,14569195,9,455479,0,12,1,4,1,1,1,,,4595,"emptyParcelReservoirs"
75130,2,1,0,14573330,4,455529,0,4,1,4,1,1,1,,,2515,"emptyParcelReservoirs"
87652,2.3,0,0,14569204,9,455461,0,12,1,4,1,1,2,,,4595,"emptyParcelReservoirs"
87652,2.3,0,0,14568254,-950,455461,0,12,1,4,1,1,2,,,4595,"upgradeLowestLevelFudReservoir"
87652,2.3,0,0,14567764,-490,455461,0,13,1,4,1,1,2,,,5070,"craftAndEquipFudHarvester"
87652,2.3,0,0,14567274,-490,455461,0,14,1,4,1,1,2,,,5315,"craftAndEquipFudHarvester"
87652,2.3,0,0,14566784,-490,455461,0,15,1,4,1,1,2,,,5560,"craftAndEquipFudHarvester"
87652,2.3,0,0,14566294,-490,455461,0,16,1,4,1,1,2,,,5805,"craftAndEquipFudHarvester"
87652,2.3,0,0,14559944,-6350,455461,0,16,1,4,1,1,2,1,1,6050,"craftAndEquipMaker"
87652,2.3,0,0,14547344,-12600,455461,0,16,1,4,1,1,2,1,1,9225,"upgradeLowestLevelMaker"
87652,2.3,1,0,14573334,4,455521,0,4,1,4,1,1,2,,,2515,"emptyParcelReservoirs"
87652,2.3,1,0,14572604,-730,455521,0,4,1,4,1,1,2,,,2515,"upgradeLowestLevelFudHarvester"
87652,2.3,1,0,14566254,-6350,455521,0,4,1,4,1,1,2,1,1,2880,"craftAndEquipMaker"
87652,2.3,1,0,14553654,-12600,455521,0,4,1,4,1,1,2,1,1,6055,"upgradeLowestLevelMaker"
100174,2.7,0,0,14547353,9,455443,0,16,1,4,1,1,2,1,1,15525,"emptyParcelReservoirs"
100174,2.7,1,0,14553658,4,455513,0,4,1,4,1,1,2,1,1,12355,"emptyParcelReservoirs"
112696,3,0,0,14547362,9,455425,0,16,1,4,1,1,2,1,1,15525,"emptyParcelReservoirs"
112696,3,1,0,14553662,4,455505,0,4,1,4,1,1,2,1,1,12355,"emptyParcelReservoirs"
125217,3.3,0,0,14547371.25,9.25,455407,0,16,1,4,1.25,1,2,1,1,15525,"emptyParcelReservoirs"
125217,3.3,0,0,14546641.25,-730,455407,0,16,1,4,1.25,1,2,1,1,15525,"upgradeLowestLevelFudHarvester"
125217,3.3,1,0,14553666,4,455496.99999999994,0,4,1,4,1,1,2,1,1,12355,"emptyParcelReservoirs"
137739,3.7,0,0,14546655.45,14.200000000186265,455380,0,16,1,4,1.25,1,2,1,1,15890,"emptyParcelReservoirs"
137739,3.7,1,0,14553670,4,455488.99999999994,0,4,1.25,4,1,1,2,1,1,12355,"emptyParcelReservoirs"
137739,3.7,1,0,14551670,-2000,455488.99999999994,0,4,1.25,4,1,1,2,1,1,12355,"upgradeHighestLevelAltar"
150261,4,0,0,14546669.65,14.200000000186265,455353,0,16,1,4,1.25,1,2,1,1,15890,"emptyParcelReservoirs"
150261,4,1,0,14551674.666666666,4.666666666511446,455479.6666666666,0,4,1.25,4,1,1,2,1,1,13355,"emptyParcelReservoirs"
162783,4.3,0,0,14546683.850000001,14.200000000186265,455326,0,16,1,4,1.25,1,2,1,2,15890,"emptyParcelReservoirs"
162783,4.3,0,0,14545638.850000001,-1045,455326,0,16,1,4,1.25,1,2,1,2,15890,"upgradeLowestLevelFomoReservoir"
162783,4.3,0,0,14543638.850000001,-2000,455326,0,16,1,4,1.25,1,2,1,2,16412.5,"upgradeHighestLevelAltar"
162783,4.3,1,0,14551679.333333334,4.666666666511446,455470.33333333326,0,4,1.25,4,1,1,2,1,2,13355,"emptyParcelReservoirs"
162783,4.3,1,0,14550849.333333334,-830,455470.33333333326,0,4,1.25,4,1,1,2,1,2,13355,"upgradeLowestLevelFomoHarvester"
175304,4.7,0,0,14543653.05,14.200000000186265,455299,0,16,1.0625,4,1.25,1,2,1,2,17412.5,"emptyParcelReservoirs"
175304,4.7,1,0,14550854,4.666666666511446,455460.99999999994,0,4,1.25,4,1,1,2,1,2,13770,"emptyParcelReservoirs"
187826,5,0,0,14543667.983333334,14.933333333116025,455270.6666666667,0,16,1.0625,4,1.25,1,2,1,2,17412.5,"emptyParcelReservoirs"
187826,5,1,0,14550858.666666668,4.666666666511446,455451.6666666666,0,4,1.25,4,1,1,2,1,2,13770,"emptyParcelReservoirs"
200348,5.3,0,0,14543683.116666667,15.13333333330229,455242.3333333334,0,16,1.0625,4,1.5,1,2,1,2,17412.5,"emptyParcelReservoirs"
200348,5.3,0,0,14542953.116666667,-730,455242.3333333334,0,16,1.0625,4,1.5,1,2,1,2,17412.5,"upgradeLowestLevelFudHarvester"
200348,5.3,1,0,14550863.333333332,4.666666666511446,455442.3333333333,0,4,1.25,4,1,1,2,1,2,13770,"emptyParcelReservoirs"
212870,5.7,0,0,14542969.35,16.23333333292976,455212,0,16,1.0625,4,1.5,1,2,1,2,17777.5,"emptyParcelReservoirs"
212870,5.7,1,0,14550868,4.666666666511446,455432.99999999994,0,4,1.5,4,1,1,2,1,2,13770,"emptyParcelReservoirs"
212870,5.7,1,0,14549823,-1045,455432.99999999994,0,4,1.5,4,1,1,2,1,2,13770,"upgradeLowestLevelFomoReservoir"
225391,6,0,0,14542985.583333332,16.23333333292976,455181.6666666667,0,16,1.0625,4,1.5,1,2,1,2,17777.5,"emptyParcelReservoirs"
225391,6,1,0,14549828.666666666,5.666666666511446,455421.6666666666,0,4,1.5,4,1,1,2,1,2,14292.5,"emptyParcelReservoirs"
237913,6.3,0,0,14543001.816666666,16.23333333292976,455151.3333333334,0,16,1.0625,4,1.5,1,2,1,2,17777.5,"emptyParcelReservoirs"
237913,6.3,1,0,14549834.333333332,5.666666666511446,455410.33333333326,0,4,1.5,4,1,1,2,1,2,14292.5,"emptyParcelReservoirs"
250435,6.7,0,0,14543018.049999999,16.23333333292976,455121,0,16,1.125,4,1.5,1,2,1,2,17777.5,"emptyParcelReservoirs"
250435,6.7,0,0,14542288.049999999,-730,455121,0,16,1.125,4,1.5,1,2,1,2,17777.5,"upgradeLowestLevelFudHarvester"
250435,6.7,1,0,14549840.2,5.866666666697711,455399,0,4,1.5,4,1.25,1,2,1,2,14292.5,"emptyParcelReservoirs"
250435,6.7,1,0,14549180.2,-660,455399,0,4,1.5,4,1.25,1,2,1,2,14292.5,"upgradeLowestLevelAlphaHarvester"
262957,7,0,0,14542305.016666666,16.96666666632518,455089.3333333334,0,16,1.125,4,1.5,1,2,1,2,18142.5,"emptyParcelReservoirs"
262957,7,1,0,14549186.433333332,6.2333333333954215,455387,0,4,1.5,4,1.25,1,2,1,2,14622.5,"emptyParcelReservoirs"
275478,7.3,0,0,14542321.98333333,16.96666666632518,455057.66666666674,0,16,1.125,4,1.5,1,2,1,2,18142.5,"emptyParcelReservoirs"
275478,7.3,1,0,14549192.666666666,6.2333333333954215,455375,0,4,1.5,4,1.25,1,2,1,2,14622.5,"emptyParcelReservoirs"
288000,7.7,0,0,14542338.949999997,16.96666666632518,455026.00000000006,0,16,1.125,4,1.5,1,2,1,2,18142.5,"emptyParcelReservoirs"
288000,7.7,1,0,14549198.899999999,6.2333333333954215,455362.99999999994,0,4,1.5,4,1.25,1,2,1,2,14622.5,"emptyParcelReservoirs"
300522,8,0,0,14542355.916666664,16.96666666632518,454994.3333333334,0,16,1.1875,4,1.5,1,2,1,2,18142.5,"emptyParcelReservoirs"
300522,8,0,0,14541625.916666664,-730,454994.3333333334,0,16,1.1875,4,1.5,1,2,1,2,18142.5,"upgradeLowestLevelFudHarvester"
300522,8,1,0,14549205.133333333,6.2333333333954215,455351,0,4,1.75,4,1.25,1,3,1,2,14622.5,"emptyParcelReservoirs"
300522,8,1,0,14548215.133333333,-990,455351,0,4,1.75,4,1.25,1,3,1,2,14622.5,"upgradeLowestLevelFudHarvester"
300522,8,1,0,14547115.133333333,-1100,455351,0,4,1.75,4,1.25,1,3,1,2,15117.5,"upgradeLowestLevelFomoHarvester"
300522,8,1,0,14522015.133333333,-25100,455351,0,4,1.75,4,1.25,1,3,1,2,15667.5,"upgradeLowestLevelMaker"
313043,8.3,0,0,14541643.616666663,17.699999999720603,454961.33333333343,0,16,1.1875,4,1.5,1,2,1,2,18507.5,"emptyParcelReservoirs"
313043,8.3,1,0,14522022.033333331,6.899999999906868,455337.6666666666,0,4,1.75,4,1.25,1,3,1,2,28217.5,"emptyParcelReservoirs"
325565,8.7,0,0,14541661.316666663,17.699999999720603,454928.33333333343,0,16,1.1875,4,1.5,1,3,1,2,18507.5,"emptyParcelReservoirs"
325565,8.7,0,0,14540831.316666663,-830,454928.33333333343,0,16,1.1875,4,1.5,1,3,1,2,18507.5,"upgradeLowestLevelFomoHarvester"
325565,8.7,0,0,14515731.316666663,-25100,454928.33333333343,0,16,1.1875,4,1.5,1,3,1,2,18922.5,"upgradeLowestLevelMaker"
325565,8.7,1,0,14522028.933333332,6.899999999906868,455324.3333333333,0,4,1.75,4,1.25,1,3,1,2,28217.5,"emptyParcelReservoirs"
338087,9,0,0,14515749.016666664,17.699999999720603,454895.33333333343,0,16,1.1875,4,1.5,1,3,1,2,31472.5,"emptyParcelReservoirs"
