"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName","fudHarvesterLevels","fomoHarvesterLevels","alphaHarvesterLevels","kekHarvesterLevels","fudReservoirLevels","fomoReservoirLevels","alphaReservoirLevels","kekReservoirLevels"
12522,0.3,0,0,3644585,0,113892.25,0,,,,,,,,,0,"emptyParcelReservoirs","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3644585,0,113892.25,0,,,,,1,1,,,0,"craftAndEquipAltar","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3644095,-490,113892.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3643944.997365972,-150.00263402820565,113892.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3643424.997365972,-520,113892.25,0,1,1,2,1,1,1,,,320.00131701406576,"craftAndEquipFomoReservoir","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3643262.4945124416,-162.5028535304591,113892.25,0,2,1,2,1,1,1,,,580.0013170140658,"craftAndEquipFomoHarvester","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3642817.4945124416,-445,113892.25,0,2,1,3,1,1,1,,,661.2527437793035,"craftAndEquipAlphaReservoir","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3642673.7419881644,-143.75252427707892,113892.25,0,3,1,3,1,1,1,,,883.7527437793035,"craftAndEquipAlphaHarvester","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3642128.7419881644,-545,113892.25,0,3,1,4,1,1,1,,,955.6290059177832,"craftAndEquipKekReservoir","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3641953.7389151314,-175.00307303274167,113892.25,0,4,1,4,1,1,1,,,1228.1290059177834,"craftAndEquipKekHarvester","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,0,0,3640953.7389151314,-1000,113892.25,0,4,1,4,1,1,1,,,1315.6305424341936,"upgradeHighestLevelAltar","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3644585,0,113892.25,0,,,,,,,,,0,"emptyParcelReservoirs","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3644585,0,113892.25,0,,,,,1,1,,,0,"craftAndEquipAltar","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3644095,-490,113892.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3643944.997365972,-150.00263402820565,113892.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3643424.997365972,-520,113892.25,0,1,1,2,1,1,1,,,320.00131701406576,"craftAndEquipFomoReservoir","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3643262.4945124416,-162.5028535304591,113892.25,0,2,1,2,1,1,1,,,580.0013170140658,"craftAndEquipFomoHarvester","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3642817.4945124416,-445,113892.25,0,2,1,3,1,1,1,,,661.2527437793035,"craftAndEquipAlphaReservoir","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3642673.7419881644,-143.75252427707892,113892.25,0,3,1,3,1,1,1,,,883.7527437793035,"craftAndEquipAlphaHarvester","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3642128.7419881644,-545,113892.25,0,3,1,4,1,1,1,,,955.6290059177832,"craftAndEquipKekReservoir","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3641953.7389151314,-175.00307303274167,113892.25,0,4,1,4,1,1,1,,,1228.1290059177834,"craftAndEquipKekHarvester","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3641803.7362811035,-150.00263402820565,113892.25,0,5,1,4,1,1,1,,,1315.6305424341936,"craftAndEquipFudHarvester","2,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3641653.7336470755,-150.00263402820565,113892.25,0,6,1,4,1,1,1,,,1390.631859448259,"craftAndEquipFudHarvester","3,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3641503.7310130466,-150.00263402820565,113892.25,0,7,1,4,1,1,1,,,1465.633176462325,"craftAndEquipFudHarvester","4,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3641353.7283790186,-150.00263402820565,113892.25,0,8,1,4,1,1,1,,,1540.6344934763906,"craftAndEquipFudHarvester","5,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3641203.7257449906,-150.00263402820565,113892.25,0,9,1,4,1,1,1,,,1615.6358104904566,"craftAndEquipFudHarvester","6,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3640203.7257449906,-1000,113892.25,0,9,1,4,1,1,1,,,1690.6371275045221,"upgradeHighestLevelAltar","6,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3640041.22289146,-162.5028535304591,113892.25,0,10,1,4,1,1,1,,,2190.637127504522,"craftAndEquipFomoHarvester","6,0,0,0,0,0,0,0,0","2,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3639878.7200379297,-162.5028535304591,113892.25,0,11,1,4,1,1,1,,,2271.88855426976,"craftAndEquipFomoHarvester","6,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3639716.2171843993,-162.5028535304591,113892.25,0,12,1,4,1,1,1,,,2353.1399810349976,"craftAndEquipFomoHarvester","6,0,0,0,0,0,0,0,0","4,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3639553.714330869,-162.5028535304591,113892.25,0,13,1,4,1,1,1,,,2434.391407800236,"craftAndEquipFomoHarvester","6,0,0,0,0,0,0,0,0","5,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3639409.9618065916,-143.75252427707892,113892.25,0,14,1,4,1,1,1,,,2515.642834565474,"craftAndEquipAlphaHarvester","6,0,0,0,0,0,0,0,0","5,0,0,0,0,0,0,0,0","2,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3639266.2092823144,-143.75252427707892,113892.25,0,15,1,4,1,1,1,,,2587.5190967039534,"craftAndEquipAlphaHarvester","6,0,0,0,0,0,0,0,0","5,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,1,0,3639091.206209282,-175.00307303274167,113892.25,0,16,1,4,1,1,1,,,2659.395358842434,"craftAndEquipKekHarvester","6,0,0,0,0,0,0,0,0","5,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","2,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
12522,0.3,2,0,3644585,0,113892.25,0,,,,,,,,,0,"emptyParcelReservoirs","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,2,0,3644585,0,113892.25,0,,,,,1,1,,,0,"craftAndEquipAltar","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,2,0,3644095,-490,113892.25,0,,,1,1,1,1,,,0,"craftAndEquipFudReservoir","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,2,0,3643944.997365972,-150.00263402820565,113892.25,0,1,1,1,1,1,1,,,245,"craftAndEquipFudHarvester","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,2,0,3643424.997365972,-520,113892.25,0,1,1,2,1,1,1,,,320.00131701406576,"craftAndEquipFomoReservoir","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
12522,0.3,2,0,3643262.4945124416,-162.5028535304591,113892.25,0,2,1,2,1,1,1,,,580.0013170140658,"craftAndEquipFomoHarvester","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
